Age,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,Hours/Week,Country,Income
20,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K.
65,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K.
44,11,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K.
36,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K.
29,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
20,10,Never-married,Farming-fishing,Own-child,White,Male,32,United-States,<=50K.
28,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States,>50K.
39,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K.
54,10,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K.
52,7,Separated,Priv-house-serv,Not-in-family,Black,Female,18,United-States,<=50K.
56,9,Widowed,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K.
18,10,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K.
39,9,Divorced,Handlers-cleaners,Own-child,Black,Male,40,United-States,<=50K.
21,10,Never-married,Other-service,Own-child,White,Female,24,United-States,<=50K.
22,9,Never-married,Other-service,Not-in-family,White,Male,60,United-States,>50K.
38,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,54,Mexico,<=50K.
21,10,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K.
63,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
34,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K.
42,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K.
33,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K.
30,13,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K.
39,10,Divorced,Sales,Not-in-family,White,Male,40,United-States,<=50K.
26,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K.
33,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K.
47,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
41,13,Never-married,Other-service,Not-in-family,White,Female,40,?,<=50K.
41,12,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K.
19,10,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K.
46,9,Separated,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K.
43,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K.
55,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K.
46,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K.
30,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K.
21,10,Separated,Handlers-cleaners,Not-in-family,White,Female,40,United-States,<=50K.
46,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,Dominican-Republic,<=50K.
17,6,Never-married,?,Own-child,White,Male,40,United-States,<=50K.
41,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K.
69,9,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,<=50K.
50,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K.
20,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
45,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K.
23,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K.
24,10,Separated,Other-service,Not-in-family,White,Male,40,United-States,<=50K.
44,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,?,>50K.
31,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K.
43,9,Separated,Machine-op-inspct,Not-in-family,White,Female,44,United-States,<=50K.
20,7,Never-married,Other-service,Own-child,White,Female,10,United-States,<=50K.
55,9,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,>50K.
24,10,Never-married,Armed-Forces,Not-in-family,White,Male,40,United-States,<=50K.
41,14,Married-civ-spouse,?,Wife,White,Female,10,United-States,>50K.
59,13,Never-married,Exec-managerial,Not-in-family,White,Female,25,United-States,<=50K.
49,4,Never-married,Other-service,Not-in-family,Black,Male,20,United-States,<=50K.
33,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,United-States,>50K.
59,13,Divorced,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K.
34,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K.
20,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K.
25,13,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,<=50K.
49,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K.
59,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K.
20,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
51,10,Married-civ-spouse,?,Wife,White,Female,18,United-States,<=50K.
33,10,Never-married,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K.
22,10,Never-married,Transport-moving,Own-child,Black,Male,39,United-States,<=50K.
58,5,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K.
52,9,Widowed,Adm-clerical,Unmarried,White,Female,28,United-States,<=50K.
36,6,Separated,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K.
41,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K.
28,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K.
19,10,Never-married,Handlers-cleaners,Own-child,Black,Male,16,United-States,<=50K.
18,9,Never-married,Other-service,Not-in-family,White,Female,28,United-States,<=50K.
18,9,Never-married,Machine-op-inspct,Own-child,White,Female,48,United-States,<=50K.
28,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
29,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
20,9,Never-married,?,Own-child,White,Female,20,United-States,<=50K.
40,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K.
26,9,Never-married,Handlers-cleaners,Unmarried,White,Male,40,United-States,<=50K.
46,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
23,7,Never-married,Other-service,Not-in-family,White,Female,24,United-States,<=50K.
44,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K.
43,13,Divorced,Sales,Unmarried,White,Female,40,United-States,>50K.
31,13,Divorced,Prof-specialty,Unmarried,White,Female,60,United-States,<=50K.
18,10,Never-married,Sales,Own-child,White,Female,25,United-States,<=50K.
19,10,Never-married,Protective-serv,Own-child,White,Male,30,United-States,<=50K.
41,10,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K.
41,9,Divorced,Handlers-cleaners,Unmarried,White,Female,40,United-States,<=50K.
69,9,Divorced,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K.
48,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K.
28,9,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,<=50K.
27,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,Ireland,>50K.
41,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K.
41,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K.
24,9,Never-married,Craft-repair,Unmarried,Black,Female,40,United-States,<=50K.
20,9,Never-married,?,Not-in-family,White,Female,40,United-States,<=50K.
42,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,41,United-States,>50K.
57,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,48,United-States,<=50K.
30,12,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K.
36,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K.
49,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K.
33,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,35,United-States,<=50K.
23,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K.
46,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K.
18,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,22,Germany,<=50K.
40,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K.
43,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K.
34,14,Never-married,Prof-specialty,Own-child,White,Female,30,United-States,<=50K.
47,9,Widowed,Exec-managerial,Not-in-family,White,Female,30,United-States,<=50K.
44,11,Widowed,Exec-managerial,Unmarried,White,Female,30,United-States,<=50K.
33,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K.
55,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K.
19,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K.
28,10,Never-married,Other-service,Not-in-family,Black,Male,14,United-States,<=50K.
27,7,Married-civ-spouse,Other-service,Wife,Black,Female,32,United-States,<=50K.
50,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20,United-States,<=50K.
22,7,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K.
40,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K.
25,10,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K.
26,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K.
22,13,Never-married,Sales,Not-in-family,White,Male,25,United-States,<=50K.
42,10,Never-married,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K.
38,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K.
55,7,Married-civ-spouse,Other-service,Husband,White,Male,30,United-States,<=50K.
32,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K.
22,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K.
29,13,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K.
46,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K.
31,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
58,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,16,United-States,>50K.
42,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K.
18,9,Never-married,Handlers-cleaners,Unmarried,White,Male,25,United-States,<=50K.
58,9,Divorced,Exec-managerial,Not-in-family,White,Male,33,United-States,<=50K.
54,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
34,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K.
26,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K.
61,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K.
48,14,Separated,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K.
36,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K.
24,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,<=50K.
40,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,United-States,<=50K.
33,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K.
37,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K.
34,14,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K.
56,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
28,9,Married-civ-spouse,?,Own-child,White,Female,38,United-States,>50K.
37,13,Widowed,Exec-managerial,Not-in-family,White,Female,55,United-States,<=50K.
44,9,Divorced,Sales,Unmarried,Black,Female,40,United-States,<=50K.
64,10,Married-civ-spouse,?,Husband,White,Male,8,United-States,<=50K.
54,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,45,United-States,<=50K.
23,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,50,United-States,<=50K.
34,13,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,40,?,<=50K.
22,9,Never-married,Other-service,Not-in-family,White,Female,45,United-States,<=50K.
33,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
39,13,Separated,Prof-specialty,Not-in-family,White,Male,50,United-States,>50K.
47,10,Divorced,Adm-clerical,Not-in-family,Black,Female,37,United-States,<=50K.
79,4,Widowed,?,Not-in-family,White,Male,40,United-States,<=50K.
26,9,Never-married,Prof-specialty,Unmarried,Black,Female,55,United-States,<=50K.
31,10,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K.
44,10,Never-married,Transport-moving,Not-in-family,White,Male,45,United-States,<=50K.
42,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K.
19,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K.
27,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K.
51,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K.
28,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K.
57,13,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K.
45,13,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K.
50,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
34,13,Married-civ-spouse,Sales,Husband,White,Male,54,United-States,<=50K.
45,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K.
73,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,<=50K.
34,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K.
31,10,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K.
19,7,Never-married,Sales,Not-in-family,White,Male,12,United-States,<=50K.
25,10,Never-married,Other-service,Own-child,White,Female,50,United-States,<=50K.
38,11,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K.
39,13,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K.
23,13,Never-married,Tech-support,Own-child,Black,Female,32,United-States,<=50K.
49,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K.
33,9,Never-married,Other-service,Not-in-family,White,Male,32,United-States,<=50K.
21,3,Never-married,Machine-op-inspct,Other-relative,White,Male,38,Mexico,<=50K.
31,11,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K.
23,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K.
34,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K.
25,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,<=50K.
39,9,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K.
52,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K.
63,5,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K.
41,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
46,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,>50K.
53,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K.
25,5,Separated,?,Not-in-family,White,Female,40,United-States,<=50K.
77,10,Married-civ-spouse,?,Husband,White,Male,35,United-States,<=50K.
18,8,Never-married,Priv-house-serv,Own-child,White,Male,40,United-States,<=50K.
38,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K.
55,14,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,50,Thailand,<=50K.
34,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K.
80,9,Married-civ-spouse,Other-service,Husband,White,Male,30,United-States,<=50K.
34,11,Divorced,Tech-support,Unmarried,White,Female,60,United-States,<=50K.
52,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K.
42,9,Never-married,Other-service,Unmarried,Black,Female,28,Haiti,<=50K.
26,10,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K.
31,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K.
25,9,Never-married,Other-service,Own-child,White,Female,35,United-States,<=50K.
55,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K.
19,10,Never-married,Other-service,Own-child,White,Female,12,United-States,<=50K.
62,10,Married-civ-spouse,Transport-moving,Husband,White,Male,32,United-States,<=50K.
22,10,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K.
39,9,Married-civ-spouse,?,Wife,White,Female,50,United-States,<=50K.
35,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K.
28,9,Married-civ-spouse,Sales,Own-child,White,Female,40,United-States,<=50K.
47,9,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States,>50K.
44,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K.
21,10,Never-married,Sales,Own-child,White,Male,15,United-States,<=50K.
35,11,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K.
24,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
42,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,?,<=50K.
28,13,Never-married,Tech-support,Own-child,White,Male,50,United-States,<=50K.
21,10,Never-married,Machine-op-inspct,Other-relative,White,Male,35,United-States,<=50K.
62,10,Divorced,Tech-support,Not-in-family,Black,Male,40,United-States,<=50K.
39,9,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,<=50K.
30,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K.
72,15,Never-married,Prof-specialty,Not-in-family,White,Male,20,United-States,<=50K.
50,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,<=50K.
28,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K.
29,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K.
26,13,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K.
27,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K.
29,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K.
61,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K.
29,6,Married-civ-spouse,Craft-repair,Husband,White,Male,25,United-States,<=50K.
21,10,Never-married,?,Own-child,White,Female,30,United-States,<=50K.
31,7,Married-civ-spouse,Sales,Wife,White,Female,20,United-States,<=50K.
25,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,<=50K.
58,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K.
64,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K.
46,14,Never-married,Exec-managerial,Not-in-family,White,Male,38,United-States,<=50K.
53,9,Married-civ-spouse,?,Husband,White,Male,35,United-States,>50K.
19,9,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,35,United-States,<=50K.
42,9,Divorced,Other-service,Not-in-family,Black,Male,52,United-States,<=50K.
18,7,Never-married,Handlers-cleaners,Own-child,White,Male,24,United-States,<=50K.
58,13,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K.
20,10,Never-married,Protective-serv,Not-in-family,Black,Male,60,United-States,<=50K.
35,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
32,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,38,United-States,>50K.
23,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,25,United-States,<=50K.
31,10,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K.
33,13,Married-civ-spouse,Sales,Husband,Black,Male,55,United-States,<=50K.
41,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,48,United-States,<=50K.
22,9,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K.
46,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K.
61,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K.
30,9,Never-married,Exec-managerial,Not-in-family,Black,Male,40,United-States,<=50K.
42,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K.
63,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K.
26,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K.
42,6,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K.
23,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K.
25,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K.
30,5,Married-civ-spouse,Other-service,Husband,White,Male,32,El-Salvador,>50K.
23,9,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K.
34,11,Never-married,Farming-fishing,Not-in-family,White,Male,60,United-States,>50K.
30,9,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,48,United-States,<=50K.
39,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
30,7,Never-married,Handlers-cleaners,Other-relative,White,Male,38,Puerto-Rico,<=50K.
38,10,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,<=50K.
26,9,Divorced,Exec-managerial,Own-child,White,Female,40,United-States,<=50K.
20,10,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K.
37,13,Never-married,Prof-specialty,Unmarried,Black,Male,40,?,<=50K.
33,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40,United-States,<=50K.
24,13,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K.
42,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K.
51,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,84,Vietnam,<=50K.
56,12,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,>50K.
22,10,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K.
52,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K.
44,13,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K.
34,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K.
51,10,Divorced,Craft-repair,Not-in-family,White,Male,42,United-States,>50K.
20,10,Never-married,?,Not-in-family,White,Male,40,United-States,<=50K.
19,10,Never-married,Sales,Not-in-family,White,Female,25,United-States,<=50K.
37,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K.
68,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K.
22,10,Divorced,Protective-serv,Not-in-family,White,Male,40,United-States,<=50K.
56,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K.
37,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K.
52,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K.
26,9,Separated,Handlers-cleaners,Own-child,White,Male,40,Puerto-Rico,<=50K.
33,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K.
45,14,Divorced,Prof-specialty,Unmarried,White,Female,42,United-States,<=50K.
18,7,Never-married,Other-service,Own-child,White,Male,15,United-States,<=50K.
43,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,>50K.
64,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,?,>50K.
18,9,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,<=50K.
20,10,Never-married,?,Own-child,White,Male,45,United-States,<=50K.
57,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K.
41,9,Divorced,Adm-clerical,Unmarried,White,Female,42,United-States,<=50K.
34,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K.
19,9,Never-married,Sales,Unmarried,White,Female,40,United-States,<=50K.
44,5,Divorced,Other-service,Unmarried,White,Female,55,Dominican-Republic,<=50K.
56,6,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K.
36,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,80,United-States,<=50K.
48,13,Divorced,Exec-managerial,Unmarried,White,Female,48,United-States,<=50K.
